Department,Lab Number,LABORATORY ADDRESS,CPA Accredited,CPA reference number,UKAS Accredited,UKAS  Reference Number,Contact,DATE COMPLETED / UPDATED,Selection form completed,Website updated,Email Address,ANALYTE,Participation in EQA or other Inter-laboratory comparison scheme  ,State EQA provider,Acceptable EQA performance,Turnaround Time,Cost of Test (£),Sample Type required,Sample volume required,Sample collection/ special requirements,Methodology/ Technology Used,Reference Range,Uncertainty of measurement,
Biochemistry,LAB20,"Regional Endocrinology Laboratory, Department Biochemistry, UHB NHS Foundation Trust, Clinical Laboratory Services, Level Minus 1, QEHB, Mindelsohn Way, Edgbaston, Birmingham,  B15 2WB",FULL,0333,N/A,N/A,E.Williams,13.01.15,Yes,,,GH,Y,Y,,24hrs,,,,,,,,
Biochemistry,LAB20,"Regional Endocrinology Laboratory, Department Biochemistry, UHB NHS Foundation Trust, Clinical Laboratory Services, Level Minus 1, QEHB, Mindelsohn Way, Edgbaston, Birmingham,  B15 2WB",FULL,0333,N/A,N/A,E.Williams,13.01.15,Yes,,,IGF-1,Y,Y,,7 days,,,,,,,,
Biochemistry,LAB20,"Regional Endocrinology Laboratory, Department Biochemistry, UHB NHS Foundation Trust, Clinical Laboratory Services, Level Minus 1, QEHB, Mindelsohn Way, Edgbaston, Birmingham,  B15 2WB",FULL,0333,N/A,N/A,E.Williams,13.01.15,Yes,,,Alpha SU,No EQA available - recovery studies performed,,,2-3 weeks,,,,,,,,
Biochemistry,LAB20,"Regional Endocrinology Laboratory, Department Biochemistry, UHB NHS Foundation Trust, Clinical Laboratory Services, Level Minus 1, QEHB, Mindelsohn Way, Edgbaston, Birmingham,  B15 2WB",FULL,0333,N/A,N/A,E.Williams,13.01.15,Yes,,,17-OHP,Y,Y,,72 hrs,,,,,,,,
Biochemistry,LAB20,"Regional Endocrinology Laboratory, Department Biochemistry, UHB NHS Foundation Trust, Clinical Laboratory Services, Level Minus 1, QEHB, Mindelsohn Way, Edgbaston, Birmingham,  B15 2WB",FULL,0333,N/A,N/A,E.Williams,13.01.15,Yes,,,Thyroglobulin,Y,Y,,7 days,,,,,,,,
Biochemistry,LAB20,"Regional Endocrinology Laboratory, Department Biochemistry, UHB NHS Foundation Trust, Clinical Laboratory Services, Level Minus 1, QEHB, Mindelsohn Way, Edgbaston, Birmingham,  B15 2WB",FULL,0333,N/A,N/A,E.Williams,13.01.15,Yes,,,Antibodies to T3/T4,with FDH screen - part of thyroid Interference screen,,,,,,,,,,,
Biochemistry,LAB20,"Regional Endocrinology Laboratory, Department Biochemistry, UHB NHS Foundation Trust, Clinical Laboratory Services, Level Minus 1, QEHB, Mindelsohn Way, Edgbaston, Birmingham,  B15 2WB",FULL,0333,N/A,N/A,E.Williams,13.01.15,Yes,,,Fructosamine,,,,,,,,,,,,
Biochemistry,LAB20,"Regional Endocrinology Laboratory, Department Biochemistry, UHB NHS Foundation Trust, Clinical Laboratory Services, Level Minus 1, QEHB, Mindelsohn Way, Edgbaston, Birmingham,  B15 2WB",FULL,0333,N/A,N/A,E.Williams,13.01.15,Yes,,,Methotrexate,,,,,,,,,,,,
Biochemistry,LAB 21,"Clinical Biochemistry Dept, Lewis Laboratory, Southmead Hospital,  Bristol,  BS10 5NB",FULL,0034,N/A,N/A,P.Beresford,05.11.14,Yes,,,Cholinesterase,Y,Y,,2-3 weeks,,,,,,,,
Biochemistry,LAB22,"Biochemical Medicine, UCLH Special Chemistry, 3rd Floor, 60 Whitfield Street, London,  WIT 4EU",Full,1173,N/A,N/A,G Rumsby,05.11.14,Yes,,,Urine Citrate,Y,Y,,5 days,,,,,,,,
Biochemistry,LAB22,"Biochemical Medicine, UCLH Special Chemistry, 3rd Floor, 60 Whitfield Street, London,  WIT 4EU",Full,1173,N/A,N/A,G Rumsby,05.11.14,Yes,,,Urine Oxalate,Y,Y,,5 days,,,,,,,,
Biochemistry,LAB22,"Biochemical Medicine, UCLH Special Chemistry, 3rd Floor, 60 Whitfield Street, London,  WIT 4EU",Full,1173,N/A,N/A,G Rumsby,05.11.14,Yes,,,Renal Stones.,Y,Y,,3 days,,,,,,,,
Biochemistry,LAB 23,"Clinical Biochemistry Dept, Southampton General Hospital, Southampton,  SO16 6YD",FULL,1004,N/A,N/A,Rob Rowe,08.11.14,Yes,,,Faecal Elastase,N,,,10 days,,,,,,,,
Biochemistry,LAB 23,"Clinical Biochemistry Dept, Southampton General Hospital, Southampton,  SO16 6YD",FULL,1004,N/A,N/A,Rob Rowe,08.11.14,Yes,,,Pro-Collagen,Inter Lab,,,5 days,,,,,,,,
Biochemistry,LAB 24,"Dept of Clinical Biochemistry, Freeman Hospital, Freeman Rd, High Heaton, Newcastle-Upon-Tyne,  NE7 7DN",FULL,0925,N/A,N/A,Ian Mellors,05.11.14,Yes,,,Plasma Metanephrines,Y,Y,,1 week,,,,,,,,
Biochemistry,LAB 25,"SAS Laboratory, Dept of Clinical Biochemistry, Royal Victoria Infirmary, Newcastle-Upon-Tyne,  NE1 4LP",FULL,0925,N/A,N/A,S.Turner,05.11.14,Yes,,,Anti-thyroglobulin antibodies,Y,,,5 days,,,,,,,,
Biochemistry,LAB 25,"SAS Laboratory, Dept of Clinical Biochemistry, Royal Victoria Infirmary, Newcastle-Upon-Tyne,  NE1 4LP",FULL,0925,N/A,N/A,S.Turner,05.11.14,Yes,,,ADH,N,,,6 weeks,,,,,,,,
Biochemistry,LAB 26,"Nottingham City Hospital, Hucknall Rd, Nottingham,  NG5 1PB",Full,2914,N/A,N/A,Stephanie Szolin,18.02.15,Yes,,,Lipase,Y,,,1 W/D,,,,,,,,
Biochemistry,LAB 26,"Nottingham City Hospital, Hucknall Rd, Nottingham,  NG5 1PB",Full,2914,N/A,N/A,Stephanie Szolin,18.02.15,Yes,,,ALP Isoenzymes,Y,,,7 days,,,,,,,,
Biochemistry,LAB 26,"Nottingham City Hospital, Hucknall Rd, Nottingham,  NG5 1PB",Full,2914,N/A,N/A,Stephanie Szolin,18.02.15,Yes,,,Lipid Electrophoresis,N/A,,,7 days,,,,,,,,
Biochemistry,LAB 26,"Nottingham City Hospital, Hucknall Rd, Nottingham,  NG5 1PB",Full,2914,N/A,N/A,Stephanie Szolin,18.02.15,Yes,,,Erythropeitin,N/A,,,7 days,,,,,,,,
Biochemistry,LAB 27,"Biochemistry & Immunology, Box 232 Hills Road, Addenbrookes Hospital, Cambridge,  CB2 0QQ",FULL,0244,N/A,N/A,A Gidman,20.02.15,Yes,,,Heterophilic Antibodies,Y,Y,,56 days,,,,,,,,
Immunology,LAB 27,"Biochemistry & Immunology, Box 232 Hills Road, Addenbrookes Hospital, Cambridge,  CB2 0QQ",FULL,0244,N/A,N/A,A Gidman,20.02.15,Yes,,,Type 1 Cytokine,,,,,,,,,,,,
Immunology,LAB 27,"Biochemistry & Immunology, Box 232 Hills Road, Addenbrookes Hospital, Cambridge,  CB2 0QQ",FULL,0244,N/A,N/A,A Gidman,20.02.15,Yes,,,CD62 Ligand shedding,,,,,,,,,,,,
Immunology,LAB 27,"Biochemistry & Immunology, Box 232 Hills Road, Addenbrookes Hospital, Cambridge,  CB2 0QQ",FULL,0244,N/A,N/A,A Gidman,20.02.15,Yes,,,IRAK4 genetic testing,,,,,,,,,,,,
Biochemistry,LAB 28,"Molecular Laboratory, 4th Floor, West Wing, UHCW NHS Trust, Clifford Bridge Road, Coventry,  CV2 2DX",,,,,Sarojini Pandley,,,,,Familial Hypercholesterolaemia Mutation Genotyping,,,,,,,,,,,,
Biochemistry,LAB 29,"Jane Tiller, Immunosuppression Monitoring service, Harefield Hospital, Heart Science Centre, Hill End Road, Harefield Hospital, Middlesex,  UB9 6JH",N/A,N/A,ISO 9001:2008  FS.539378  ,N/A,Jane Tiller,16.12.14,Yes,,,Tacrolimus,Y,,,4 hours,,,,,,,,
Biochemistry,LAB 29,"Jane Tiller, Immunosuppression Monitoring service, Harefield Hospital, Heart Science Centre, Hill End Road, Harefield Hospital, Middlesex,  UB9 6JH",N/A,N/A,ISO 9001:2008  FS.539378  ,N/A,Jane Tiller,16.12.14,Yes,,,Sirolimus,Y,,,1 day,,,,,,,,
Biochemistry,LAB 30,"Cytogenetics Department, Birmingham Womens Hospital, Metchley Park Road, Edgbaston, Birmingham,  B15 2TG",FULL,1492,,,,,,,,SUDI samples,,,,,,,,,,,,
Biochemistry,LAB 30,"Cytogenetics Department, Birmingham Womens Hospital, Metchley Park Road, Edgbaston, Birmingham,  B15 2TG",FULL,1492,,,,,,,,"All genetics request's if not analysed at BMH samples will be forwarded to specialist Lab e.g. osteogenesis imperfecta, Klinefelters, Turners', all chromosome abnormalities",,,,,,,,,,,,
Biochemistry,LAB 31,"Department of Microbiology, Birmingham Childrens Hospital, Steelhouse Lane, Birmingham,  B4 6NH",FULL,0588,N/A,N/A,P Thomason,05.11.14,Yes,,,Fat Globules,N,,,5 days,,,,,,,,
Biochemistry,LAB 32,"Protein Reference Unit & Medical Biochemistry, University Hospital of Wales, Heath Park, Cardiff,  CF14 4XW",FULL,0841,N/A,N/A,M Moody,15.12.14,Yes,,,Complement Component Testing,Y,,,5 days,,,,,,,,
Biochemistry,LAB 33,"Queen Charlottes Hospital, 339 Goldhawk Road, Hammersmith, London, W6 0XG",Full,1050,,,,,,,,Fructose (Semen),,,,,,,,,,,,
Immunology,LAB 34,"Clinical Immunology, Birmingham Medical School, Vincent Drive, Birmingham,  B15 2TT",Full,1432,N/A,N/A,K Walker,14.01.15,Yes,,k.j.walker@bham.ac.uk,BJP quantitation,Y,Y,,14  days,,,,,,,,
Immunology,LAB 34,"Clinical Immunology, Birmingham Medical School, Vincent Drive, Birmingham,  B15 2TT",Full,1432,N/A,N/A,K Walker,14.01.15,Yes,,k.j.walker@bham.ac.uk,C3d,N,,,28 days,,,,,,,,
